position,velocity
-0.53369266,0.0
-0.53461695,-0.0009243077
-0.5364586,-0.0018416864
-0.5392039,-0.0027452614
-0.54283214,-0.003628266
-0.54731625,-0.0044840956
-0.5526226,-0.0053063645
-0.5587116,-0.006088961
-0.5655377,-0.006826102
-0.5730501,-0.007512389
-0.5811929,-0.008142863
-0.589906,-0.008713054
-0.599125,-0.0092190225
-0.6087824,-0.00965741
-0.61880785,-0.010025464
-0.62912893,-0.010321066
-0.6396717,-0.010542745
-0.65036136,-0.010689684
-0.6611231,-0.0107617155
-0.6718824,-0.010759296
-0.68256587,-0.010683488
-0.69310176,-0.010535917
-0.7034205,-0.010318728
-0.713455,-0.010034535
-0.72314143,-0.009686363
-0.732419,-0.009277589
-0.7412309,-0.0088118855
-0.74952406,-0.008293162
-0.75724953,-0.007725507
-0.7643627,-0.0071131424
-0.77082306,-0.0064603775
-0.77659464,-0.005771572
-0.7816458,-0.0050511034
-0.7859491,-0.0043033483
-0.78948176,-0.003532662
-0.7922251,-0.0027433718
-0.7941649,-0.0019397725
-0.79529107,-0.0011261296
-0.79459774,0.00069331605
-0.7920885,0.0025091916
-0.78877646,0.003312081
-0.78467876,0.004097673
-0.7788172,0.005861621
-0.771223,0.0075941444
-0.76193786,0.00928516
-0.7500136,0.011924237
-0.7355189,0.014494751
-0.71853966,0.016979223
-0.6991803,0.019359352
-0.67756414,0.021616157
-0.65383387,0.023730272
-0.6281515,0.025682375
-0.60169774,0.026453724
-0.57466364,0.027034122
-0.548248,0.026415613
-0.5226477,0.025600314
-0.49805453,0.024593182
-0.47465274,0.023401788
-0.45261672,0.022036009
-0.43210906,0.020507658
-0.413279,0.018830068
-0.3962613,0.017017692
-0.38117558,0.01508572
-0.36812583,0.013049752
-0.35720032,0.010925526
-0.34847158,0.008728728
-0.3419967,0.00647487
-0.33781746,0.0041792393
-0.33596057,0.0018569042
-0.3364378,-0.00047722913
-0.33924612,-0.0028083343
-0.34436768,-0.0051215636
-0.35176966,-0.007401954
-0.361404,-0.009634351
-0.3732074,-0.011803375
-0.38710082,-0.013893431
-0.4029896,-0.015888793
-0.42076334,-0.017773753
-0.4402962,-0.019532843
-0.46144733,-0.02115113
-0.4840619,-0.022614568
-0.5079723,-0.023910401
-0.5329999,-0.025027556
-0.5589569,-0.025957057
-0.5856493,-0.026692368
-0.612879,-0.027229672
-0.640447,-0.02756805
-0.6681565,-0.027709525
-0.6948155,-0.026659008
-0.72024614,-0.025430609
-0.744286,-0.024039827
-0.76678896,-0.022502966
-0.78762555,-0.020836592
-0.8066826,-0.019057052
-0.8228627,-0.016180087
-0.8360879,-0.013225206
-0.8462979,-0.010210052
-0.85344845,-0.0071505303
-0.85750955,-0.0040610842
-0.8584646,-0.00095507
-0.85630983,0.0021547955
-0.8510539,0.0052559474
-0.8427184,0.008335479
-0.8313387,0.011379664
-0.8169652,0.014373534
-0.7996647,0.017300539
-0.77952236,0.020142324
-0.75664365,0.022878656
-0.7311561,0.025487546
-0.7032106,0.027945565
-0.67298216,0.030228408
-0.6406705,0.032311656
-0.6064988,0.034171753
-0.5707116,0.035787113
-0.5335724,0.037139285
-0.4953583,0.038214076
-0.45635575,0.039002523
-0.41685414,0.039501615
-0.3771395,0.039714646
-0.3374883,0.039651204
-0.29816154,0.039326772
-0.25939956,0.03876197
-0.22141802,0.03798152
-0.18440495,0.03701308
-0.14851896,0.035885982
-0.11388891,0.034630053
-0.08061435,0.03327456
-0.048767038,0.031847317
-0.018393014,0.030374022
0.010484814,0.028877826
0.037863877,0.027379064
0.06375905,0.025895175
0.088199824,0.02444077
0.1112276,0.023027776
0.13289326,0.02166567
0.153255,0.020361735
0.17237635,0.019121343
0.19032459,0.017948236
0.20716938,0.0168448
0.22298168,0.015812296
0.23783278,0.014851105
0.25179368,0.013960913
0.26493457,0.013140887
0.2773244,0.012389825
0.2890307,0.01170628
0.30011934,0.011088663
0.3106547,0.01053534
0.3206994,0.010044694
0.33031458,0.009615194
0.33956003,0.009245442
0.34849423,0.008934217
0.35717475,0.008680506
0.36565828,0.008483539
0.3740011,0.008342814
0.38225922,0.008258117
0.39048877,0.008229552
0.3987463,0.008257548
0.4070892,0.008342897
0.41557598,0.008486759
0.42426667,0.008690694
0.43322334,0.008956681
0.4425105,0.009287139
0.45219544,0.009684958
0.46234897,0.010153519
0.47304568,0.010696726
0.48436472,0.011319029
0.49639016,0.012025453
-0.42513627,0.0
-0.42686406,-0.0017277765
-0.4303072,-0.0034431461
-0.43544093,-0.005133734
-0.44222817,-0.0067872372
-0.45061964,-0.008391473
-0.4605541,-0.009934455
-0.47195858,-0.011404476
-0.4847488,-0.01279023
-0.49882975,-0.014080945
-0.5140963,-0.015266542
-0.5304341,-0.0163378
-0.5477206,-0.017286541
-0.5658264,-0.018105784
-0.58461636,-0.018789923
-0.60395116,-0.019334843
-0.6236892,-0.019738019
-0.6436878,-0.01999857
-0.663805,-0.02011726
-0.6839015,-0.020096447
-0.70384145,-0.019939987
-0.7234945,-0.019653086
-0.74173665,-0.018242124
-0.75845706,-0.016720388
-0.7735582,-0.015101114
-0.7869554,-0.01339724
-0.79857665,-0.011621234
-0.80836165,-0.009784977
-0.81626135,-0.007899717
-0.82223743,-0.005976079
-0.8262616,-0.0040241247
-0.82731503,-0.0010534561
-0.82539296,0.0019220645
-0.82050425,0.004888718
-0.8126717,0.007832524
-0.8019329,0.010738855
-0.78834075,0.013592101
-0.7719653,0.016375404
-0.7528948,0.019070517
-0.73123705,0.021657784
-0.7071207,0.024116296
-0.68069655,0.02642422
-0.6521372,0.028559318
-0.6216376,0.03049964
-0.58941317,0.032224376
-0.5556984,0.033714782
-0.52074325,0.03495516
-0.48480952,0.035933744
-0.448166,0.03664348
-0.41108346,0.03708255
-0.37382886,0.03725462
-0.3366601,0.03716876
-0.29982102,0.036839064
-0.26353705,0.03628399
-0.22801158,0.035525464
-0.19342369,0.03458789
-0.16092658,0.032497104
-0.13164376,0.029282834
-0.10566848,0.025975276
-0.08306863,0.022599842
-0.06389156,0.019177072
-0.048168704,0.015722856
-0.035919793,0.012248913
-0.02715638,0.008763414
-0.021884674,0.0052717053
-0.020107582,0.0017770916
-0.021825943,-0.0017183613
-0.027038949,-0.005213004
-0.035743732,-0.008704783
-0.047934156,-0.012190424
-0.063598774,-0.01566462
-0.08271803,-0.019119253
-0.1052607,-0.022542672
-0.13117976,-0.025919057
-0.1604077,-0.029227952
-0.19285174,-0.032444026
-0.22838889,-0.035537157
-0.26686183,-0.038472943
-0.3080755,-0.041213658
-0.3517953,-0.04371979
-0.3977473,-0.04595202
-0.44562095,-0.04787364
-0.4940741,-0.048453156
-0.5427484,-0.0486743
-0.59127915,-0.048530757
-0.6393058,-0.048026633
-0.68648195,-0.047176156
-0.7324845,-0.04600257
-0.776021,-0.04353647
-0.8168401,-0.040819123
-0.8547328,-0.037892718
-0.88953084,-0.034797996
-0.9211033,-0.031572483
-0.94935256,-0.028249234
-0.9742087,-0.024856165
-0.99562454,-0.02141586
-1.0135703,-0.017945722
-1.0280287,-0.014458433
-1.0389913,-0.010962565
-1.0464545,-0.007463323
-1.0504179,-0.0039633294
-1.0508814,-0.000463446
-1.047845,0.0030364012
-1.0413085,0.0065363967
-1.0312725,0.010036007
-1.0177394,0.013533154
-1.000716,0.017023398
-0.9802169,0.02049913
-0.9562681,0.023948828
-0.9289117,0.027356386
-0.89821106,0.030700628
-0.864256,0.03395504
-0.8271681,0.037087888
-0.7871054,0.040062733
-0.74426585,0.04283953
-0.6988896,0.04537627
-0.6512584,0.04763119
-0.601693,0.049565405
-0.55054724,0.051145766
-0.49819958,0.05234766
-0.44504222,0.05315735
-0.3914686,0.053573616
-0.33786023,0.053608388
-0.28457388,0.053286325
-0.23193052,0.052643366
-0.18020603,0.0517245
-0.12962501,0.050581023
-0.08035732,0.049267683
-0.032517344,0.047839977
0.013834519,0.046351865
0.058688536,0.044854015
0.1020812,0.043392666
0.14409019,0.042008985
0.18482913,0.04073894
0.22444265,0.039613515
0.2631018,0.038659137
0.30100006,0.03789829
0.3383502,0.037350148
0.3753814,0.037031207
0.41233727,0.03695585
0.44947407,0.037136793
0.4870595,0.03758543
-0.4477346,0.0
-0.44929868,-0.001564082
-0.4524154,-0.0031167297
-0.45706195,-0.0046465565
-0.46320423,-0.0061422754
-0.470797,-0.00759276
-0.4797841,-0.008987119
-0.4900989,-0.010314784
-0.5016645,-0.011565611
-0.5143945,-0.012729999
-0.52819353,-0.013799022
-0.5429581,-0.014764562
-0.55857754,-0.015619449
-0.57493514,-0.01635759
-0.5919092,-0.016974088
-0.6093746,-0.017465338
-0.62720364,-0.017829096
-0.64526814,-0.01806451
-0.6634403,-0.018172117
-0.6815941,-0.018153802
-0.6996068,-0.01801271
-0.71735996,-0.017753141
-0.7347403,-0.0173804
-0.7506409,-0.015900629
-0.76496744,-0.014326456
-0.7776377,-0.012670292
-0.78858185,-0.010944156
-0.7977415,-0.009159585
-0.805069,-0.0073275855
-0.8105277,-0.0054586357
-0.81409043,-0.0035627468
-0.81574,-0.0016495489
-0.8154684,0.00027158923
-0.81327695,0.0021914232
-0.80917627,0.0041006883
-0.8021863,0.006989955
-0.7923418,0.009844475
-0.7796931,0.01264868
-0.7643072,0.015385934
-0.7462688,0.018038386
-0.7256819,0.02058695
-0.70267045,0.023011424
-0.67737967,0.025290785
-0.649976,0.027403664
-0.6206471,0.029328948
-0.5896005,0.031046571
-0.55706215,0.032538354
-0.5232732,0.03378891
-0.48848677,0.034786467
-0.45296314,0.035523616
-0.41696534,0.035997804
-0.38075373,0.036211625
-0.34458095,0.036172777
